id,title,release_date,genres,country,budget,revenue,roi_ratio,vote_average,vote_count,popularity,success_status
19995,아바타,2009-12-15,"액션, 모험, 판타지, SF","US, GB",237000000,2923706026,11.336312345991562,7.594,32856,26.7105,Mega-Hit
299534,어벤져스: 엔드게임,2019-04-24,"모험, SF, 액션",US,356000000,2799439100,6.86359297752809,8.238,26962,13.9608,Mega-Hit
76600,아바타: 물의 길,2022-12-14,"액션, 모험, SF",US,350000000,2330224914,5.657785468571428,7.61,13096,28.5891,Mega-Hit
980477,나타지마동요해,2025-01-29,"애니메이션, 판타지, 모험, 액션",CN,80000000,2150000000,25.875,8.029,468,27.9553,Mega-Hit
140607,스타워즈 에피소드 7: 깨어난 포스,2015-12-15,"모험, 액션, SF",US,245000000,2068223624,7.44172907755102,7.3,20103,8.2672,Mega-Hit
299536,어벤져스: 인피니티 워,2018-04-25,"모험, 액션, SF",US,300000000,2052415039,5.841383463333333,8.236,31176,22.0512,Mega-Hit
634649,스파이더맨: 노 웨이 홈,2021-12-15,"액션, 모험, SF",US,200000000,1921847111,8.609235555,7.937,21313,19.5983,Mega-Hit
1022789,인사이드 아웃 2,2024-06-11,"애니메이션, 모험, 코미디, 가족",US,200000000,1698863816,7.49431908,7.55,6278,27.1524,Mega-Hit
135397,쥬라기 월드,2015-06-06,"액션, 모험, SF, 스릴러",US,150000000,1671537444,10.14358296,6.7,21121,9.3334,Mega-Hit
420818,라이온 킹,2019-07-12,"모험, 드라마, 가족, 애니메이션",US,260000000,1662020819,5.3923877653846155,7.102,10570,8.7748,Mega-Hit
24428,어벤져스,2012-04-25,"SF, 액션, 모험",US,220000000,1518815515,5.903706886363636,7.865,34225,45.9289,Mega-Hit
168259,분노의 질주: 더 세븐,2015-04-01,"액션, 범죄, 스릴러",US,190000000,1515400000,6.975789473684211,7.223,11031,8.1661,Mega-Hit
361743,탑건: 매버릭,2022-05-21,"액션, 드라마",US,170000000,1488732821,7.757251888235294,8.164,10373,17.9089,Mega-Hit
330457,겨울왕국 2,2019-11-20,"가족, 애니메이션, 모험, 코미디, 판타지",US,150000000,1453683476,8.691223173333332,7.241,10072,8.9592,Mega-Hit
