id,title,release_date,vote_average,vote_count,popularity,collection_type,budget,revenue,runtime,genres,country,status
19995,아바타,2009-12-15,7.594,32856,26.7105,Top_Revenue,237000000,2923706026,162,"액션, 모험, 판타지, SF","US, GB",Released
299534,어벤져스: 엔드게임,2019-04-24,8.238,26962,13.9608,Top_Revenue,356000000,2799439100,181,"모험, SF, 액션",US,Released
76600,아바타: 물의 길,2022-12-14,7.61,13096,28.5891,Top_Revenue,350000000,2330224914,192,"액션, 모험, SF",US,Released
980477,나타지마동요해,2025-01-29,8.029,468,27.9553,Top_Revenue,80000000,2150000000,144,"애니메이션, 판타지, 모험, 액션",CN,Released
140607,스타워즈 에피소드 7: 깨어난 포스,2015-12-15,7.3,20103,8.2672,Top_Revenue,245000000,2068223624,135,"모험, 액션, SF",US,Released
299536,어벤져스: 인피니티 워,2018-04-25,8.236,31176,22.0512,Top_Revenue,300000000,2052415039,149,"모험, 액션, SF",US,Released
634649,스파이더맨: 노 웨이 홈,2021-12-15,7.937,21313,19.5983,Top_Revenue,200000000,1921847111,148,"액션, 모험, SF",US,Released
1022789,인사이드 아웃 2,2024-06-11,7.55,6278,27.1524,Top_Revenue,200000000,1698863816,97,"애니메이션, 모험, 코미디, 가족",US,Released
135397,쥬라기 월드,2015-06-06,6.7,21121,9.3334,Top_Revenue,150000000,1671537444,125,"액션, 모험, SF, 스릴러",US,Released
420818,라이온 킹,2019-07-12,7.102,10570,8.7748,Top_Revenue,260000000,1662020819,118,"모험, 드라마, 가족, 애니메이션",US,Released
24428,어벤져스,2012-04-25,7.865,34225,45.9289,Top_Revenue,220000000,1518815515,142,"SF, 액션, 모험",US,Released
168259,분노의 질주: 더 세븐,2015-04-01,7.223,11031,8.1661,Top_Revenue,190000000,1515400000,138,"액션, 범죄, 스릴러",US,Released
361743,탑건: 매버릭,2022-05-21,8.164,10373,17.9089,Top_Revenue,170000000,1488732821,131,"액션, 드라마",US,Released
330457,겨울왕국 2,2019-11-20,7.241,10072,8.9592,Top_Revenue,150000000,1453683476,103,"가족, 애니메이션, 모험, 코미디, 판타지",US,Released
346698,바비,2023-07-19,6.944,10501,16.7899,Top_Revenue,145000000,1447138421,114,"코미디, 모험","GB, US",Released
99861,어벤져스: 에이지 오브 울트론,2015-04-22,7.271,23876,10.913,Top_Revenue,235000000,1405403694,141,"액션, 모험, SF",US,Released
502356,슈퍼 마리오 브라더스,2023-04-05,7.603,10095,20.2658,Top_Revenue,100000000,1362000000,93,"가족, 코미디, 모험, 애니메이션, 판타지","JP, US",Released
284054,블랙 팬서,2018-02-13,7.4,22971,7.4587,Top_Revenue,200000000,1349926083,135,"액션, 모험, SF",US,Released
12445,해리 포터와 죽음의 성물 2,2011-07-12,8.084,21451,16.7884,Top_Revenue,125000000,1341511219,130,"모험, 판타지","GB, US",Released
533535,데드풀과 울버린,2024-07-24,7.569,7981,24.3795,Top_Revenue,200000000,1338073645,128,"액션, 코미디, SF",US,Released
181808,스타워즈 에피소드 8: 라스트 제다이,2017-12-13,6.8,15926,6.9173,Top_Revenue,300000000,1332698830,152,"모험, 액션, SF",US,Released
351286,쥬라기 월드: 폴른 킹덤,2018-06-06,6.538,12408,8.9474,Top_Revenue,170000000,1310469037,129,"액션, 모험, SF, 스릴러",US,Released
109445,겨울왕국,2013-11-20,7.2,17182,19.5948,Top_Revenue,150000000,1274219009,108,"애니메이션, 가족, 모험, 판타지",US,Released
321612,미녀와 야수,2017-03-16,6.969,15832,11.6822,Top_Revenue,160000000,1266115964,129,"가족, 판타지, 로맨스",US,Released
260513,인크레더블 2,2018-06-14,7.456,13368,9.8497,Top_Revenue,200000000,1243225667,125,"액션, 모험, 애니메이션, 가족",US,Released
337339,분노의 질주: 더 익스트림,2017-04-12,6.861,10612,7.6975,Top_Revenue,250000000,1236000000,136,"액션, 범죄, 스릴러",US,Released
68721,아이언맨 3,2013-04-18,6.9,22948,12.4689,Top_Revenue,200000000,1215577205,129,"액션, 모험, SF",US,Released
211672,미니언즈,2015-06-17,6.417,10888,3.9131,Top_Revenue,74000000,1159457503,91,"가족, 애니메이션, 모험, 코미디",US,Released
271110,캡틴 아메리카: 시빌 워,2016-04-27,7.448,23539,12.3963,Top_Revenue,250000000,1155046416,147,"모험, 액션, SF",US,Released
297802,아쿠아맨,2018-12-07,6.872,14593,10.0696,Top_Revenue,160000000,1152028393,143,"액션, 모험, 판타지",US,Released
429617,스파이더맨: 파 프롬 홈,2019-06-28,7.399,16474,12.8672,Top_Revenue,160000000,1131927996,129,"액션, 모험, SF",US,Released
299537,캡틴 마블,2019-03-06,6.8,16371,5.6372,Top_Revenue,152000000,1131416446,124,"액션, 모험, SF",US,Released
38356,트랜스포머: 달의 어둠,2011-06-28,6.2,8702,2.5067,Top_Revenue,195000000,1123794079,154,"액션, SF, 모험",US,Released
122,반지의 제왕: 왕의 귀환,2003-12-17,8.491,25706,21.766,Top_Revenue,94000000,1118888979,199,"모험, 판타지, 액션","NZ, US",Released
37724,007 스카이폴,2012-10-24,7.257,15749,6.9925,Top_Revenue,200000000,1108594176,143,"액션, 모험, 스릴러","GB, US",Released
91314,트랜스포머: 사라진 시대,2014-06-25,5.954,8523,10.8477,Top_Revenue,210000000,1104054072,167,"SF, 액션, 모험",US,Released
